medcodeid,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,term,cough,dyspnoea,sputum
"8323631000006117","909421000000102","8323631000006117","^ESCTDI832363","","Diabetes Distress Scale 2 item score",,1,
"2338051000000112","910931000000101","2341461000000112","38QX","38QX.00","Diabetes Distress Scale 17 item score",,1,
"8325001000006117","910931000000101","2341481000000115","^ESCTDD832500","","DDS17 (Diabetes Distress Scale 17) score",,1,
"8324991000006112","910931000000101","8324991000006112","^ESCTDI832499","","Diabetes Distress Scale 17 item score",,1,
"460916013","91251008","151194017","ZV570","ZV57000","[V]Breathing exercises",,1,
"939911000006119","939911000006103","939911000006119","EMISNQTR1","","Troubled / distressed",,1,
"947231000033110","947231000033106","947231000033110","DRGA19054NEMIS","","Qvar Easi-Breathe",,1,
"951841000006113","951841000006109","951841000006113","TRISLIM37","","Unfit breathing apparatus/AGR",,1,
"960871000006117","960871000006101","960871000006117","EMISCRE6","","Relaxation/breathing techniques",,1,
"961761000006112","961761000006108","961761000006112","EMISCAB17","","Abnormal breathing patterns",,1,
"961771000006117","961771000006101","961771000006117","EMISCUN14","","Unable to breathe independently",,1,
"961781000006119","961781000006103","961781000006119","EMISCCO10","","Cough",1,,
"961811000006117","961811000006101","961811000006117","EMISCAB18","","Abnormal sputum",,,1
"961841000006118","961841000006102","961841000006118","EMISCAB19","","Abnormal breath sounds",,1,
"973721000006112","973721000006108","973721000006112","TRIGPZZ60","","** Book pack b - MRCGP candidates",,1,
"973731000006110","973731000006106","973731000006110","TRIGPZZ61","","** Notes for the MRCGP",,1,
"973741000006117","973741000006101","973741000006117","TRIGPZZ62","","** MRCGP practice papers: MCQS & EMQS",,1,
"982351000006118","982351000006102","982351000006118","EMISCDY2","","Dyspnoea",,1,
